,EIGENUSDT,BNXUSDT,Spread,ZScore
96,2.883,0.6164,0.07838000000000056,0.5000735055833001
97,2.8919,0.6214,0.06453000000000042,0.22009312912945098
98,2.8762,0.6312,0.004240000000000244,-0.8750386366328126
99,2.8953,0.6419,-0.02534499999999973,-1.5269617857355144
100,2.8774,0.6398,-0.03369,-1.7362407831668358
101,2.8583,0.653,-0.11285000000000034,-2.7419720282359394
102,2.8303,0.6478,-0.11719000000000035,-2.368115109336943
103,2.8174,0.6396,-0.09277999999999942,-1.7728221566441615
104,2.8196,0.6363,-0.0755650000000001,-1.3925183707453987
105,2.8238,0.6341,-0.061354999999999826,-1.101509298120113
106,2.8678,0.6387,-0.038285000000000124,-0.7474907047287586
107,2.871,0.6372,-0.028259999999999952,-0.5562845930636574
108,2.8424,0.6539,-0.1328450000000001,-1.6654460044280766
